sp,lon,lat
Melanoides.tuberculataAN,-61.80181,17.10276
Melanoides.tuberculataAN,-56.626488,-27.498952
Melanoides.tuberculataAN,-55.204002,-26.994194
Melanoides.tuberculataAN,-59.646212,-30.178164
Melanoides.tuberculataAN,-63.803087,-26.906429
Melanoides.tuberculataAN,-64.02105,-23.328516
Melanoides.tuberculataAN,-67.089313,-25.394716
Melanoides.tuberculataAN,-67.756455,-24.659087
Melanoides.tuberculataAN,-68.163307,-26.420579
Melanoides.tuberculataAN,-68.388276,-25.737127
Melanoides.tuberculataAN,-67.980967,-25.324364
Melanoides.tuberculataAN,-68.156289,-25.00667
Melanoides.tuberculataAN,-67.606155,-24.202831
Melanoides.tuberculataAN,-68.636362,-20.658039
Melanoides.tuberculataAN,-68.790968,-19.635752
Melanoides.tuberculataAN,-68.620779,-19.386217
Melanoides.tuberculataAN,-68.736118,-19.260425
Melanoides.tuberculataAN,-68.887953,-19.204292
Melanoides.tuberculataAN,-69.322243,-19.022402
Melanoides.tuberculataAN,-69.169983,-18.244623
Melanoides.tuberculataAN,-69.631365,-17.636709
Melanoides.tuberculataAN,-67.516129,-17.635608
Melanoides.tuberculataAN,-66.952755,-13.921319
Melanoides.tuberculataAN,-67.510195,-11.478742
Melanoides.tuberculataAN,-65.817396,-10.745168
Melanoides.tuberculataAN,-47.40153,-0.839976
Melanoides.tuberculataAN,-47.73081,-0.756502
Melanoides.tuberculataAN,-47.388429,-0.65622
Melanoides.tuberculataAN,-47.243668,-0.699141
Melanoides.tuberculataAN,-48.334154,-1.197084
Melanoides.tuberculataAN,-49.553363,-4.30798
Melanoides.tuberculataAN,-53.274976,-4.017615
Melanoides.tuberculataAN,-52.816305,-5.420214
Melanoides.tuberculataAN,-42.799051,-22.89834
Melanoides.tuberculataAN,-42.855923,-22.951561
Melanoides.tuberculataAN,-43.94268,-22.754459
Melanoides.tuberculataAN,-43.627878,-22.307303
Melanoides.tuberculataAN,-43.062019,-22.088044
Melanoides.tuberculataAN,-38.465697,-7.004666
Melanoides.tuberculataAN,-37.841228,-7.129961
Melanoides.tuberculataAN,-37.202055,-6.649806
Melanoides.tuberculataAN,-36.794513,-6.39534
Melanoides.tuberculataAN,-35.779465,-5.892025
Melanoides.tuberculataAN,-35.417969,-5.954607
Melanoides.tuberculataAN,-35.297323,-5.8395
Melanoides.tuberculataAN,-35.303213,-5.712561
Melanoides.tuberculataAN,-35.364402,-5.424395
Melanoides.tuberculataAN,-35.435163,-5.328301
Melanoides.tuberculataAN,-35.546999,-5.247138
Melanoides.tuberculataAN,-35.739991,-5.130458
Melanoides.tuberculataAN,-36.195475,-5.121495
Melanoides.tuberculataAN,-36.660709,-5.193492
Melanoides.tuberculataAN,-37.21783,-5.036906
Melanoides.tuberculataAN,-37.007677,-6.011793
Melanoides.tuberculataAN,-39.00852,-6.271768
Melanoides.tuberculataAN,-38.928247,-5.095897
Melanoides.tuberculataAN,-38.442499,-4.26666
Melanoides.tuberculataAN,-38.62281,-3.704097
Melanoides.tuberculataAN,-38.654897,-3.887713
Melanoides.tuberculataAN,-40.453249,-4.264418
Melanoides.tuberculataAN,-42.738902,-3.928599
Melanoides.tuberculataAN,-41.677508,-2.943713
Melanoides.tuberculataAN,-41.624067,-4.011684
Melanoides.tuberculataAN,-41.422076,-7.055681
Melanoides.tuberculataAN,-43.773078,-6.700464
Melanoides.tuberculataAN,-43.67157,-4.55565
Melanoides.tuberculataAN,-47.499064,-5.524614
Melanoides.tuberculataAN,-35.337043,-7.901429
Melanoides.tuberculataAN,-35.084499,-8.274251
Melanoides.tuberculataAN,-34.977602,-8.353222
Melanoides.tuberculataAN,-35.071575,-8.345158
Melanoides.tuberculataAN,-38.670793,-8.881493
Melanoides.tuberculataAN,-39.100198,-9.906294
Melanoides.tuberculataAN,-42.16494,-9.943231
Melanoides.tuberculataAN,-39.555257,-8.611138
Melanoides.tuberculataAN,-39.743358,-10.644689
Melanoides.tuberculataAN,-44.762269,-15.793943
Melanoides.tuberculataAN,-45.254578,-18.262683
Melanoides.tuberculataAN,-44.784767,-19.822906
